frame,battery,height,status,timestamp
0,85,0,Idle,20:34:31
1,85,0,Idle,20:34:31
2,85,0,Idle,20:34:31
3,85,0,Idle,20:34:32
4,85,0,Idle,20:34:32
5,85,0,Idle,20:34:32
6,85,0,Idle,20:34:32
7,85,0,Idle,20:34:32
8,85,0,Idle,20:34:32
9,85,0,Idle,20:34:32
10,85,0,Idle,20:34:32
11,85,0,Idle,20:34:32
12,85,0,Idle,20:34:32
13,85,0,Idle,20:34:32
14,85,0,Idle,20:34:32
15,85,0,Idle,20:34:32
16,85,0,Idle,20:34:32
17,85,0,Idle,20:34:32
18,85,0,Idle,20:34:32
19,85,0,Idle,20:34:32
20,85,0,Idle,20:34:32
21,85,0,Idle,20:34:33
22,85,0,Idle,20:34:33
23,85,0,Idle,20:34:33
24,85,0,Idle,20:34:33
25,85,0,Idle,20:34:33
26,85,0,Idle,20:34:33
27,85,0,Idle,20:34:33
28,85,0,Idle,20:34:33
29,85,0,Idle,20:34:33
30,85,0,Idle,20:34:33
31,85,0,Idle,20:34:33
32,85,0,Idle,20:34:33
33,85,0,Idle,20:34:33
34,85,0,Idle,20:34:33
35,85,0,Idle,20:34:33
36,85,0,Idle,20:34:33
37,85,0,Idle,20:34:33
38,85,0,Idle,20:34:33
39,85,0,Idle,20:34:33
40,85,0,Idle,20:34:33
41,85,0,Idle,20:34:33
42,85,0,Idle,20:34:34
43,85,0,Idle,20:34:34
44,85,0,Idle,20:34:34
45,85,0,Idle,20:34:34
46,85,0,Idle,20:34:34
47,84,50,Flying,20:34:40
48,84,50,Flying,20:34:40
49,84,50,Flying,20:34:40
50,84,50,Flying,20:34:40
51,84,50,Flying,20:34:40
169,84,50,Flying,20:34:40
170,84,50,Flying,20:34:40
171,83,60,Flying,20:34:40
177,83,60,Flying,20:34:40
178,83,60,Flying,20:34:40
179,83,60,Flying,20:34:41
180,83,60,Flying,20:34:41
181,83,60,Flying,20:34:41
182,83,60,Flying,20:34:41
183,83,60,Flying,20:34:41
184,83,60,Flying,20:34:41
185,83,60,Flying,20:34:41
186,83,60,Flying,20:34:41
187,83,60,Flying,20:34:41
188,83,60,Flying,20:34:41
189,83,60,Flying,20:34:41
190,83,60,Flying,20:34:41
191,83,60,Flying,20:34:41
192,83,60,Flying,20:34:41
193,83,60,Flying,20:34:41
194,83,60,Flying,20:34:41
195,83,60,Flying,20:34:41
